region_id,Total_Persons_Persons,Median_age_of_persons,Median_total_personal_income_weekly,Median_rent_weekly,Persons_Total_Volunteer,Persons_Year_12_or_equivalent_Total,Born_elsewhere_Persons,No_Internet_connection_Total,Different_usual_address_5_years_ago_Total_Persons,No_Religion_Persons,SA2_NAME,AREA_SQKM
203021039,12066,38,586,250,1846,5028,242,1165,4744,3201,Geelong,12.67641637
203021040,18874,37,572,230,3012,7263,465,1976,6597,4559,Geelong West - Hamlyn Heights,31.98114079
203021041,19702,37,545,260,2924,6775,301,1252,7609,4861,Grovedale,55.68301667
203021042,19321,40,581,270,3767,8676,450,1022,7593,4435,Highton,40.67873453
203021043,15522,37,579,265,1969,4557,247,820,5023,3656,Lara,588.5086711
203021044,10111,39,546,275,1517,3091,106,651,3573,2489,Leopold,27.92829363
203021045,14712,41,462,200,1669,3478,251,1713,4585,3772,Newcomb - Moolap,43.43438611
203021046,9682,40,642,250,1922,4415,166,693,3559,2368,Newtown (Vic.),5.791361292
203021047,13997,42,435,235,1598,4244,652,1598,4316,2522,North Geelong - Bell Park,21.93339527
203031048,11697,44,489,260,1887,3564,110,874,3966,2954,Clifton Springs,65.14978612
203031049,4919,48,537,240,1263,2028,77,358,1569,1702,Lorne - Anglesea,447.9910334
203031050,18357,41,602,275,3570,7156,148,1059,7019,5559,Ocean Grove - Barwon Heads,156.9864177
203031051,6497,55,409,235,1161,1761,68,860,2564,1610,Portarlington,71.85461172
203031052,4072,54,563,249,1217,1780,38,349,1420,1114,Queenscliff,61.67470959
203031053,15042,37,671,330,2829,6321,178,598,6668,4946,Torquay,126.3191965
204011054,6097,49,457,160,1569,1786,64,693,2091,1830,Alexandra,2118.956741
204011055,5950,51,446,150,1596,1574,48,733,1745,1550,Euroa,2057.904505
204011056,11948,38,525,230,1814,3248,128,847,4358,3135,Kilmore - Broadford,461.5222683
204011057,8153,44,496,175,1947,2573,140,696,2997,2411,Mansfield (Vic.),3927.946648
204011058,3558,48,480,180,692,919,32,410,1102,860,Nagambie,1294.350246
204011059,6369,42,459,160,1072,1455,65,772,1927,1607,Seymour,79.30868731
204011060,4223,37,598,210,828,1352,52,231,1782,1027,Seymour Region,1688.953164
204011061,219,39,360,175,44,56,3,35,85,90,Upper Yarra Valley,854.8006259
204011062,3395,49,441,180,903,1022,54,364,931,1034,Yea,1474.175384
204021063,10331,46,459,175,2119,2625,103,1366,3502,2498,Benalla,315.3047721
204021064,3378,48,485,125,900,1010,21,292,812,869,Benalla Region,2105.323619
