region_id,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_family_income_weekly,Average_number_of_Persons_per_bedroom,Median_total_household_income_weekly,Average_household_size,Owned_outright_Total,Owned_with_a_mortgage_Total,Total_Persons_Persons
3105909,33,1733,755,290,1722,1.1,1327,2,25,39,342
3105911,31,1911,718,360,1860,1.1,1523,2.4,37,41,356
3105912,31,2200,688,340,1465,1.2,1343,2.3,20,34,228
3105913,33,1300,703,328,1799,1.1,1158,1.9,43,37,417
3105914,29,1350,749,340,1737,1.1,1442,2.2,21,40,443
3105915,33,1800,900,345,1555,1.1,1449,1.8,22,35,275
3105916,32,2000,839,350,2042,1.1,1634,2.3,36,47,375
3105917,36,2500,951,330,2140,1.1,2125,2.7,46,41,346
3105918,38,2000,974,393,2961,1,2803,3.2,65,54,452
3105919,40,2000,720,398,2513,1.1,1539,2.8,51,57,449
3105920,37,2210,694,400,2143,1,1886,2.9,46,34,292
3105921,38,2100,700,390,2277,1,1750,2.7,52,27,257
3105922,46,2774,705,395,2011,1,1305,2.2,109,38,521
3105923,42,3000,650,500,2519,1.1,1980,2.6,49,42,318
3105924,41,2400,1065,595,2695,1.1,2521,2.5,82,112,859
3106001,35,1700,536,365,1555,1,1463,2.9,35,41,339
3106002,29,2100,702,395,1889,1.1,1939,3.1,31,87,539
3106003,37,2167,561,490,1949,1.1,2010,3.1,47,49,366
3106004,35,2000,693,375,2203,1,1750,3,56,72,544
3106005,36,1600,507,635,1812,1,1694,2.9,62,39,349
3106006,33,1733,527,380,1595,1.1,1507,3.1,86,92,703
3106007,38,2383,651,285,2228,1,2036,3.3,93,105,731
3106008,29,1600,572,380,1639,1,1389,2.7,15,38,329
3106009,40,1950,594,400,1477,1,1463,3,81,60,486
3106010,39,2400,688,410,2197,1.1,1735,3,52,61,376
3106011,39,1817,580,460,1789,1.1,1847,3.2,63,66,482
3106012,31,2145,617,395,1555,1.1,1456,2.5,60,94,647
3106013,27,1733,628,400,1607,1,1431,2.9,19,54,401
3106014,40,1900,643,350,1660,1,1663,2.9,73,69,518
3106015,44,1400,487,450,2045,1.1,1708,2.9,52,30,291
3106016,30,1907,542,420,1704,1,1390,2.9,34,35,275
3106017,26,1700,480,420,1261,1.2,1308,2.9,20,38,461
3106018,29,3100,684,425,1985,1,2103,3.3,38,106,634
3106019,28,2167,537,395,1407,1.1,1267,2.8,45,40,806
3106020,31,1350,534,355,1799,1.1,1625,3.1,42,38,356
3106021,38,2000,463,420,1259,1,1199,2.7,30,45,551
3106022,40,2167,434,360,1208,1,1125,3.1,52,25,285
3106023,36,901,636,500,1971,1,2211,3.4,87,40,482
3106024,34,2400,418,0,2160,1,2134,3.4,56,30,357
3106025,34,2167,733,370,1607,1,1468,3,40,26,250
3106026,29,2600,522,390,1442,1.1,1447,2.8,43,37,554
3106027,29,1983,373,400,974,1.1,939,2.8,10,27,236
3106028,34,1600,608,363,1447,1.1,1437,3,64,61,515
3106029,49,3300,526,280,959,1.2,766,1.7,58,8,360
3106030,41,0,550,190,614,1.2,713,1.4,13,0,358
3106031,43,2334,572,440,1727,1,1651,2.9,77,61,496
3106101,28,2361,477,415,1289,1.1,1361,2.9,69,46,659
3106102,30,2167,424,298,1111,1.2,1259,3.1,37,36,483
3106103,30,2167,512,345,1281,1.2,1153,2.7,32,23,268
3106104,31,2167,411,380,1351,1.1,1312,3.2,93,32,537
3106105,38,2650,456,450,1607,1.1,1166,3.1,104,37,550
3106106,36,1800,490,380,1430,1.1,1384,2.9,57,36,361
3106107,31,1337,409,365,1166,1.1,1262,2.8,68,40,457
3106108,33,2167,373,400,1347,1.1,1325,3.4,55,35,403
3106109,32,1940,351,450,1109,1,1111,3.1,93,31,515
3106110,34,2250,493,385,1375,1,1125,3,21,17,224
3106111,35,1690,385,370,1354,1,1171,2.9,73,55,529
3106112,38,2167,413,425,1228,1.1,1148,3.1,96,55,603
3106201,39,0,325,0,0,0,500,2,0,0,22
3106202,41,1700,434,106,1392,1,694,2.6,14,36,328
3106203,34,2150,474,132,1347,1.1,1375,3.2,38,54,473
3106204,39,2008,686,415,1808,1,1921,2.8,50,42,358
3106205,39,2037,502,350,1521,1,1555,2.9,63,47,389
