sa1,ssc
1131333,10236
1131316,10236
1131332,10236
1131346,10236
1144913,10237
1144915,10237
1144902,10237
1144912,10237
1144901,10237
1144904,10237
1144911,10237
1144914,10237
1144907,10237
1144905,10237
1144906,10237
1144903,10237
1116504,10238
1120703,10239
1120701,10239
1120702,10239
1120712,10239
1130340,10240
1130307,10240
1130546,10240
1130540,10240
1130534,10240
1130426,10240
1130411,10240
1130537,10240
1130406,10240
1130508,10240
1130325,10240
1130506,10240
1130417,10240
1130408,10240
1130509,10240
1130549,10240
1130529,10240
1130548,10240
1130527,10240
1130501,10240
1130518,10240
1130507,10240
1130319,10240
1130538,10240
1130338,10240
1130543,10240
1130521,10240
1130514,10240
1130405,10240
1130560,10240
1130328,10240
1130547,10240
1130557,10240
1130563,10240
1130558,10240
1130523,10240
1130318,10240
1130524,10240
1130516,10240
1130511,10240
1130334,10240
1130337,10240
1130556,10240
1130528,10240
1130320,10240
1130561,10240
1130512,10240
1130502,10240
1130323,10240
1130535,10240
1130559,10240
1130409,10240
1130326,10240
1130544,10240
1130336,10240
1130555,10240
1130554,10240
1130539,10240
1130427,10240
1130410,10240
1130324,10240
1130306,10240
1130304,10240
1130418,10240
1130330,10240
1130525,10240
1130541,10240
1130553,10240
1130333,10240
1130517,10240
1130530,10240
1130309,10240
1130550,10240
1130504,10240
1130327,10240
1130513,10240
1130551,10240
1130341,10240
1130542,10240
1130522,10240
1130342,10240
1130536,10240
1130545,10240
1130510,10240
1130526,10240
1130339,10240
1130533,10240
1130332,10240
1130305,10240
1130562,10240
1130505,10240
1130520,10240
1130407,10240
1130335,10240
1130329,10240
1130532,10240
1130531,10240
1130503,10240
1130322,10240
1130301,10240
1130552,10240
1130331,10240
1130515,10240
1130321,10240
1130519,10240
1104214,10241
1104217,10241
1104218,10241
1104219,10241
1143739,10242
1143732,10242
1143733,10242
1143737,10242
1143738,10242
1143721,10242
1143832,10243
1143830,10243
1137430,10244
1137454,10244
1137415,10244
1137458,10244
1137437,10244
1137432,10244
1137455,10244
1137416,10244
1137457,10244
1137433,10244
1137434,10244
1137436,10244
1137447,10244
1137431,10244
1137435,10244
1137456,10244
1112908,10245
1145018,10246
1145016,10246
1145015,10246
1145045,10246
1145011,10246
1145013,10246
1145026,10246
1145012,10246
1145019,10246
1145023,10246
1145025,10246
1145002,10246
1145014,10246
1145041,10246
1145032,10246
1145020,10246
1145024,10246
1145022,10246
1145017,10246
1145039,10246
1130042,10247
1107608,10248
1107610,10248
1107604,10248
1107606,10248
1107601,10248
1107613,10248
1107607,10248
1107609,10248
1107605,10248
1107621,10248
1146740,10249
1146707,10249
1146745,10249
