SA1_MAINCODE_2011,SA1_7DIGITCODE_2011,,,,,
10201103802,1103802,,,,,
10201103803,1103803,,,,,
10201103804,1103804,,,,,
10201103805,1103805,,,,,
10201103806,1103806,,,,,
10201103807,1103807,,,,,
10201103808,1103808,,,,,
10201103809,1103809,,,,,
10201103810,1103810,,,,,
10201103811,1103811,,,,,
10201103812,1103812,,,,,
10201103813,1103813,,,,,
10201103814,1103814,,,,,
10201103815,1103815,,,,,
10201103816,1103816,,,,,
10201103817,1103817,,,,,
10201103901,1103901,,,,,
10201103902,1103902,,,,,
10201103903,1103903,,,,,
10201103904,1103904,,,,,
10201103905,1103905,,,,,
10201103906,1103906,,,,,
10201103907,1103907,,,,,
10201103908,1103908,,,,,
10201103909,1103909,,,,,
10201103910,1103910,,,,,
10201103911,1103911,,,,,
10201103912,1103912,,,,,
10201103913,1103913,,,,,
10201103914,1103914,,,,,
10201103915,1103915,,,,,
10201103916,1103916,,,,,
10201103917,1103917,,,,,
10201103918,1103918,,,,,
10201103919,1103919,,,,,
10201103920,1103920,,,,,
10201103921,1103921,,,,,
10201103922,1103922,,,,,
10201103923,1103923,,,,,
10201103924,1103924,,,,,
10201103925,1103925,,,,,
10201103926,1103926,,,,,
10201103927,1103927,,,,,
10201104001,1104001,,,,,
10201104002,1104002,,,,,
10201104003,1104003,,,,,
10201104004,1104004,,,,,
10201104005,1104005,,,,,
10201104006,1104006,,,,,
10201104007,1104007,,,,,
10201104008,1104008,,,,,
10201104009,1104009,,,,,
10201104010,1104010,,,,,
10201104011,1104011,,,,,
10201104012,1104012,,,,,
10201104013,1104013,,,,,
10201104014,1104014,,,,,
10201104015,1104015,,,,,
10201104016,1104016,,,,,
10201104017,1104017,,,,,
10201104018,1104018,,,,,
10201104019,1104019,,,,,
10201104020,1104020,,,,,
10201104021,1104021,,,,,
10201104022,1104022,,,,,
10201104023,1104023,,,,,
10201104024,1104024,,,,,
10201104025,1104025,,,,,
10201104026,1104026,,,,,
10201104027,1104027,,,,,
10201104028,1104028,,,,,
10201104029,1104029,,,,,
10201104030,1104030,,,,,
10201104031,1104031,,,,,
10201104032,1104032,,,,,
10201104033,1104033,,,,,
10201104034,1104034,,,,,
10201104035,1104035,,,,,
10201104036,1104036,,,,,
10201104037,1104037,,,,,
10201104038,1104038,,,,,
10201104039,1104039,,,,,
10201104040,1104040,,,,,
10201104041,1104041,,,,,
10201104042,1104042,,,,,
10201104043,1104043,,,,,
10201104044,1104044,,,,,
10201104045,1104045,,,,,
10201104046,1104046,,,,,
10201104047,1104047,,,,,
10201104048,1104048,,,,,
10201104049,1104049,,,,,
10201104050,1104050,,,,,
10201104051,1104051,,,,,
10201104052,1104052,,,,,
10201104053,1104053,,,,,
10201104054,1104054,,,,,
10201104055,1104055,,,,,
10201104056,1104056,,,,,
10201104057,1104057,,,,,
10201104058,1104058,,,,,
10201104101,1104101,,,,,
